task,arm,run,loss_source,loss_tokens,frac,train_loss,test_loss,on_target,off_target
caps,random,caps_qwen25_14b_lora32_lr1e-4_posthoc_random,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_random/evals.json,1983,0.05,0.828642245852688,1.1430928850197997,0.328125,0.0
caps,random,caps_qwen25_14b_lora32_lr1e-4_posthoc_random,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_random/evals.json,1983,0.1,0.7928196677782093,1.107887630683872,0.4375,0.0
caps,random,caps_qwen25_14b_lora32_lr1e-4_posthoc_random,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_random/evals.json,1983,0.2,0.7518541652921282,1.074914249818372,0.671875,0.0
caps,random,caps_qwen25_14b_lora32_lr1e-4_posthoc_random,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_random/evals.json,1983,0.5,0.645546175384345,1.0063783611484207,0.921875,0.0
caps,random,caps_qwen25_14b_lora32_lr1e-4_posthoc_random,runs/caps_qwen25_14b_lora32_lr1e-4_posthoc_random/evals.json,1983,1.0,0.5866782309996866,0.9923024372325903,0.984375,0.078125
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.0,2.8705516566891642,2.1278259976600857,0.0,0.0
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.001,0.9867059831788554,0.9955191604439444,1.0,0.109375
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.002,0.9534994272085336,0.9718496069775471,1.0,0.359375
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.005,0.9310954618736131,0.9602529272900471,1.0,0.875
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.01,0.9191111728284486,0.9568978916798793,0.984375,0.984375
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.02,0.911845641728689,0.9523257491241305,0.984375,1.0
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.05,0.8877173429410133,0.9469995077229951,0.984375,1.0
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.1,0.8615910456730769,0.9407944999232815,0.984375,1.0
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.2,0.8155840811644786,0.9366478053715732,0.984375,0.984375
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,0.5,0.7589254887146357,0.9354961289126432,0.984375,1.0
case,adam,case_qwen25_14b_posthoc_shard_best,runs/case_qwen25_14b_posthoc_shard_best/evals.json,1222,1.0,0.747830859302769,0.9360692200606077,1.0,1.0
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.0,2.87219005223562,2.1276539039299647,0.0,0.0
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.001,1.0225403739150458,1.0179591736894973,0.921875,0.09375
case,ixg:mc,case_qwen25_14b_posthoc_shard_ixg_mc,runs/case_qwen25_14b_posthoc_shard_ixg_mc/evals.json,1222,0.002,0.9901397242348575,1.000534291938557,0.96875,0.078125
